genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.112251,35.748759
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.07365,35.58917
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.073041,35.599367
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.072981,35.585918
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.069782,35.584675
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.069276,35.579176
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.063078,35.586602
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.061933,35.587145
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.059039,35.587041
Diadophis_punctatus_edwardsii,Diadophis  punctatus edwardsii,11981,Northern Ring-necked Snake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.057538,35.585759
