genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.416376,35.515791
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.412116,35.600653
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.383603,35.711209
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.382762,35.707467
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.365719,35.602601
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.356094,35.702196
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.347662,35.556487
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.339444,35.715555
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.328609,35.705553
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.320832,35.607224
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.317193,35.610026
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.313311,35.518858
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.313057,35.616667
