genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.209357,35.748591
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.117781,35.619665
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.082045,35.588205
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081221,35.587471
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08115,35.58731
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080949,35.587629
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.074739,35.585176
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.061235,35.59005
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.059483,35.591892
