genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.46376,35.713965
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.458105,35.537455
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.448473,35.578638
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.443989,35.702426
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.433143,35.465318
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.422478,35.610117
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.416321,35.702921
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.411796,35.496503
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.405357,35.531903
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.388536,35.705757
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.385356,35.543136
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.373188,35.72709
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.370516,35.581513
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.359846,35.646128
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.340927,35.748472
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.333428,35.755198
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.325397,35.57007
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.304313,35.513406
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.299779,35.549613
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.293322,35.585856
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.29183,35.751086
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.28789,35.61055
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.285763,35.603712
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.272362,35.755142
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.27093,35.641213
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.254734,35.610319
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.243039,35.750573
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.229861,35.743579
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.213239,35.775382
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.206138,35.635449
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.194869,35.763009
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.18675,35.771468
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.179171,35.742183
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.139108,35.764762
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.132379,35.59816
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.121687,35.616648
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.121504,35.616841
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.117215,35.759579
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.109747,35.753589
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.099925,35.628803
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.087859,35.620809
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.084986,35.615216
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.083813,35.620627
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.082116,35.619881
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073431,35.586262
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072618,35.581679
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07246,35.581537
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068659,35.659362
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066917,35.659041
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066513,35.584596
