genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807645,35.644835
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806812,35.609055
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806742,35.607993
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806592,35.608131
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806088,35.607909
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805842,35.610024
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.800262,35.48908
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.798639,35.605405
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.795696,35.598218
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.795091,35.609688
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.794125,35.597777
