genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.453054,35.602566
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.443703,35.611518
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.442516,35.611704
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.43371,35.497261
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.41975,35.640089
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.383258,35.573239
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.362332,35.630052
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.36,35.629945
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.308271,35.756396
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.276881,35.749206
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.24889,35.749463
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.237757,35.75662
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.233394,35.741395
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.232535,35.743106
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.220339,35.755447
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.220194,35.692071
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.217028,35.78118
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.18675,35.771468
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.185021,35.741797
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.181218,35.737359
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.177237,35.773056
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.177036,35.774592
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.175755,35.773046
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.175662,35.774914
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.174043,35.77315
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.164507,35.758827
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.15943,35.574691
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.148087,35.583368
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.145304,35.583282
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.144882,35.762712
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.118028,35.709291
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.117155,35.710542
