genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.419332,35.49454
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.401103,35.726085
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.382762,35.707467
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.34167,35.575001
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.32972,35.562775
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.215716,35.780925
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.212208,35.773301
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.20944,35.749996
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.144998,35.763332
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.12792,35.605658
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.127916,35.610931
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.099864,35.628984
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.098606,35.661945
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.098476,35.662037
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.072368,35.67593
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.054723,35.637497
