genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372534,35.728518
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.3433,35.54836
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.333945,35.609134
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.319078,35.745065
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.312519,35.550405
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.311213,35.552161
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.310376,35.550284
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.309539,35.548425
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.306673,35.513063
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.108571,35.651918
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.106192,35.652591
Setophaga_ruticilla,Setophaga  ruticilla,36697,American Redstart,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
