genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.533253,35.690105
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.519421,35.456669
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.517315,35.458759
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.516596,35.689905
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.515846,35.460385
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.513519,35.460317
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511939,35.683404
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511901,35.45789
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511777,35.687401
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511355,35.678873
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.50918,35.678549
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.502378,35.672643
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.501502,35.458998
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.500943,35.672682
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496888,35.45977
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496098,35.673188
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.495732,35.456576
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491748,35.455297
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.490051,35.456711
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.488318,35.453376
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.48818,35.455695
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.478555,35.68315
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.478184,35.679733
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.468376,35.709896
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.468125,35.712848
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.445806,35.702587
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.43472,35.706516
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.430783,35.495608
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.430114,35.494251
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.420221,35.466101
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.374381,35.732276
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.371595,35.729654
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.287837,35.754145
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.286428,35.755515
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.284171,35.75664
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.267048,35.767015
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.228399,35.756956
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.226641,35.756556
