genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.739387,35.648805
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.738262,35.638177
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.736754,35.637355
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.735665,35.650071
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734217,35.651672
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.733606,35.450266
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.726294,35.654096
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.726239,35.606021
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.72559,35.607703
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.723974,35.608542
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.72134,35.616154
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713028,35.659551
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.702224,35.45027
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.701654,35.6701
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.698783,35.673409
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.697723,35.677029
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.696196,35.680876
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.686339,35.445947
