genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.167457,35.578576
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.166707,35.577364
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.166125,35.576266
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.165312,35.574333
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.164493,35.572599
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.164078,35.570713
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.162334,35.565327
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.118028,35.709291
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.117155,35.710542
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.113397,35.703423
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.109483,35.71805
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072981,35.585918
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072618,35.581679
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
